#{"t_start": 1715704144.3330576, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
260.0,553,2.659841
460.0,683,3.454705
540.0,809,4.434603
370.0,761,5.329827
240.0,557,5.982185
190.0,471,6.864673
270.0,513,7.460043
220.0,591,8.164949
480.0,697,8.95982
170.0,563,9.560728
210.0,545,10.346947
210.0,523,10.949948
220.0,545,11.614376
170.0,595,12.300046
220.0,867,13.239738
170.0,613,14.099743
110.0,641,14.799803
150.0,547,15.392542
360.0,857,16.330164
350.0,707,17.159865
500.0,715,18.186472
300.0,543,18.749896
80.0,787,19.660865
1930.0,1323,21.310588
170.0,515,21.904937
340.0,565,22.714659
260.0,523,23.284933
190.0,589,23.920123
110.0,791,24.799721
300.0,541,25.419821
250.0,587,26.249932
190.0,529,26.849851
130.0,531,27.463041
470.0,683,28.264802
380.0,797,29.213416
140.0,499,30.110027
80.0,787,31.093631
290.0,543,31.679103
200.0,487,32.20017
180.0,579,32.850137
250.0,537,33.709859
290.0,519,34.371419
550.0,705,35.413609
170.0,803,36.787611
180.0,671,37.599776
270.0,911,38.734721
350.0,735,39.522765
330.0,557,40.109902
190.0,805,41.058646
280.0,537,41.650012
200.0,715,42.600038
260.0,559,43.239971
320.0,635,44.187051
160.0,615,44.899725
410.0,711,45.729477
250.0,659,46.594995
300.0,611,47.319803
180.0,531,47.909776
390.0,763,48.819632
140.0,499,49.354661
960.0,671,50.209877
80.0,787,51.144743
350.0,547,51.73947
300.0,499,52.27316
80.0,787,53.329535
220.0,601,54.234688
530.0,933,55.419703
1010.0,725,56.359856
190.0,641,57.139724
240.0,515,57.735103
420.0,673,58.729879
230.0,533,59.374919
80.0,787,60.343567
530.0,717,61.159668
270.0,725,61.954893
540.0,837,63.07977
260.0,519,63.662555
230.0,591,64.509901
290.0,579,65.254926
190.0,605,66.122428
520.0,971,67.429373
140.0,527,68.001506
270.0,525,68.619903
80.0,787,69.413432
180.0,501,69.919834
130.0,515,70.654888
200.0,513,71.22224
170.0,531,72.019819
240.0,595,72.799838
360.0,641,73.679487
170.0,559,74.554274
300.0,681,75.349673
970.0,715,76.129838
130.0,571,76.709413
190.0,547,77.26434
170.0,563,78.004389
170.0,531,78.562722
300.0,483,79.069642
230.0,569,79.644369
170.0,825,80.514775
410.0,551,83.139505
490.0,593,83.879551
590.0,633,84.69144
690.0,697,85.46247
90.0,445,86.074696
540.0,663,86.974037
160.0,473,87.61976
490.0,593,88.396296
130.0,449,88.999807
370.0,561,89.804374
240.0,481,90.549443
330.0,565,91.199466
390.0,733,92.173907
290.0,699,92.957131
380.0,713,93.8422
350.0,845,94.986506
230.0,485,95.549812
230.0,539,96.281846
940.0,715,97.184499
450.0,667,98.01434
300.0,687,98.991018
220.0,491,99.754411
360.0,579,100.456165
270.0,553,101.154215
140.0,405,101.624092
420.0,583,102.512204
540.0,715,103.445223
130.0,449,104.119812
280.0,545,104.769322
110.0,539,105.459449
430.0,667,106.488048
280.0,425,107.064796
610.0,643,107.859601
290.0,537,108.479281
500.0,723,109.329503
330.0,555,110.114845
670.0,769,111.119313
230.0,521,111.71937
460.0,705,112.584588
490.0,629,113.384321
300.0,615,114.234733
350.0,769,115.209713
270.0,481,115.864665
520.0,673,116.673427
260.0,669,117.474557
950.0,701,118.683635
880.0,629,119.421672
360.0,517,120.033698
600.0,645,120.754325
280.0,509,121.324521
340.0,545,122.089653
280.0,607,122.77757
290.0,543,123.450707
170.0,465,124.029479
280.0,531,124.604735
240.0,535,125.352192
280.0,553,126.053121
950.0,893,127.380544
240.0,539,128.140759
220.0,505,128.78387
470.0,761,129.844349
200.0,433,130.343152
290.0,675,131.134748
610.0,625,131.822665
470.0,713,132.630701
120.0,481,133.449363
240.0,481,134.09594
520.0,679,135.062292
510.0,657,135.949255
90.0,447,136.469301
860.0,621,137.364465
260.0,477,137.930771
940.0,715,138.853375
500.0,807,139.849196
360.0,537,140.537161
520.0,771,141.659229
270.0,585,142.463299
230.0,539,143.079565
580.0,647,143.879475
280.0,677,144.801004
200.0,547,145.679337
340.0,641,146.454092
540.0,713,147.349143
450.0,601,148.267286
600.0,633,149.087946
890.0,709,150.259501
1710.0,805,151.2295
360.0,665,152.049163
280.0,473,152.669185
340.0,649,153.589446
210.0,469,154.349162
360.0,653,155.05938
120.0,481,155.599421
250.0,477,156.122466
520.0,673,157.020084
250.0,429,157.629182
520.0,635,158.375451
300.0,475,158.909457
320.0,683,159.669437
200.0,483,160.184431
170.0,503,162.939133
170.0,533,163.519558
170.0,507,164.162402
170.0,533,164.764238
170.0,533,165.364463
170.0,533,166.134544
170.0,533,166.705621
170.0,503,167.279202
170.0,537,167.889473
170.0,507,168.444187
170.0,465,169.136037
170.0,533,169.734544
170.0,503,170.264163
170.0,533,170.829462
170.0,507,171.489309
170.0,533,172.204036
170.0,537,172.823027
170.0,533,173.649318
170.0,537,174.259086
170.0,533,174.872692
170.0,465,175.723701
170.0,533,176.511861
170.0,507,177.13915
170.0,533,177.739374
170.0,507,178.343197
170.0,533,179.223099
170.0,503,179.809267
170.0,533,180.413817
170.0,503,180.979258
170.0,533,181.709089
170.0,533,182.464086
170.0,533,183.089221
170.0,537,183.679031
170.0,503,184.264052
170.0,537,184.864475
170.0,507,185.589333
170.0,533,186.212607
170.0,503,186.819171
170.0,533,187.422531
170.0,533,188.02263
170.0,507,188.727288
170.0,533,189.359062
170.0,507,189.924911
170.0,533,190.539012
170.0,503,191.128942
170.0,533,191.850294
170.0,533,192.510024
170.0,533,193.089911
170.0,507,193.759055
170.0,503,194.301053
170.0,503,194.994218
170.0,533,195.598958
170.0,507,196.16931
170.0,537,196.813503
170.0,533,197.394411
170.0,533,198.242028
170.0,503,198.855472
170.0,503,199.411121
170.0,507,199.989637
170.0,537,200.614093
170.0,503,201.413023
170.0,503,201.984198
170.0,503,202.529278
170.0,503,203.069233
170.0,533,203.644134
170.0,507,204.419241
170.0,533,205.036006
170.0,537,205.655384
170.0,533,206.288174
170.0,507,206.943928
170.0,503,207.669012
170.0,533,208.255178
170.0,507,208.954216
170.0,533,209.622123
140.0,459,210.179437
170.0,503,211.049008
170.0,533,211.669372
170.0,533,212.359425
170.0,533,212.952691
170.0,533,213.594092
170.0,507,214.329309
170.0,507,215.010199
170.0,507,215.648922
170.0,533,216.379093
170.0,537,217.144053
170.0,533,217.909199
170.0,533,218.522909
170.0,533,219.128977
170.0,533,219.759098
170.0,537,220.480695
170.0,507,221.282039
170.0,533,222.099289
170.0,503,222.669026
170.0,533,223.258997
140.0,459,223.759098
170.0,507,224.634149
170.0,533,225.229019
170.0,507,225.823952
170.0,503,226.444195
170.0,557,227.139039
170.0,507,227.809202
170.0,533,228.397609
170.0,533,228.975317
170.0,537,229.63405
170.0,533,230.279009
70.0,531,233.444014
70.0,531,234.064247
70.0,531,234.800698
70.0,531,235.506881
70.0,531,236.319112
70.0,531,237.170887
70.0,531,238.462806
70.0,531,239.749003
80.0,531,240.579788
80.0,531,241.571774
70.0,531,243.658901
70.0,531,245.008869
70.0,531,245.999105
80.0,531,247.283869
80.0,531,248.368787
70.0,531,249.208775
80.0,531,249.840088
70.0,531,250.418828
70.0,531,251.019377
80.0,531,251.705431
70.0,531,252.508986
70.0,531,253.120691
70.0,531,253.684712
70.0,531,254.255124
70.0,531,254.840643
70.0,531,255.641832
70.0,531,256.2423
70.0,531,256.858857
70.0,531,257.408819
70.0,531,258.030245
70.0,531,258.73893
70.0,531,259.358969
70.0,531,259.919972
70.0,531,260.488905
70.0,531,261.109064
70.0,531,261.853547
70.0,531,262.558933
70.0,531,263.164023
80.0,531,263.749351
80.0,531,264.355095
70.0,531,265.108911
70.0,531,265.72419
70.0,531,266.433711
70.0,531,267.068655
70.0,531,267.669005
70.0,531,268.439079
80.0,531,269.000907
80.0,531,269.69904
70.0,531,270.258889
70.0,531,270.854157
80.0,531,271.599083
70.0,531,272.382898
70.0,531,272.998825
